ID,name,basin,river,provider,iso,DrainageArea_prov,DrainageArea_LDD,lat,long,LISFLOOD_X,LISFLOOD_Y,SourceGlo,GlofasV5,Obs_start,Obs_end,Split_date_CALstart,KGEmod,JSD,Function,Region,Basin,elv_mean,elv_median,laii_mean,laii_median,laif_mean,laif_median,gradient_mean,gradient_median,lusemask_mean,lusemask_median,soildepth1_f_mean,soildepth1_f_median,soildepth1_o_mean,soildepth1_o_median,fracforest_mean,fracforest_median,fracirrigated_mean,fracirrigated_median,fracother_mean,fracother_median,ksat1_f_mean,ksat1_f_median,ksat1_o_mean,ksat1_o_median,tp_mean_annual,tp_std_interann,tp_seasonality,eT0_mean_annual,eT0_std_interann,eT0_seasonality,ta_mean,ta_std_interann,ta_seasonality,aridity_index
4,Barby,Elbe,Elbe,1004,DE,94060.0,93699.47,51.984836,11.882244,11.875,52.025,NRT,calibrated,01/01/1980 00:00',01/01/2000 00:00',01/01/1980 00:00',0.843939,0.0302549,KGEJSD,Europe,ElbeOderEmsWeser,380.17106773969954,372.3415222167969,1.4626098311766933,1.4621959924697876,2.283379237668686,2.297122001647949,0.0084843701585764,0.0060456641949713,1.0,1.0,50.0,50.0,50.0,50.0,0.371744629260766,0.3394802212715149,0.0008788114355175,0.0,0.5670033943300096,0.5848201513290405,122.59878288529872,105.77596594644989,122.59878288529872,105.77596594644989,749.970862364314,95.14166409582928,0.1762306459121043,658.2743046350988,41.15088204103124,0.6526567390011269,8.793268106079495,0.8273784931590069,0.6815682616957799,0.8777331729393619
5,Wittenberg / Lutherstadt,Elbe,Elbe,1004,DE,61879.0,60938.53,51.856531,12.646309,12.625,51.875,NRT,calibrated,01/01/1980 00:00',01/01/2011 00:00',01/01/1991 00:00',0.834721,0.00902574,KGEJSD,Europe,ElbeOderEmsWeser,423.276765266486,427.3036804199219,1.422023681976005,1.4244277477264404,2.263140993249054,2.270871162414551,0.0090550414812622,0.0063883694820106,1.0,1.0,50.0,50.0,50.0,50.0,0.4080879278687856,0.3843376338481903,0.0009992333630857,0.0,0.5359881627828026,0.5478900372982025,133.86784684478573,117.30026682121245,133.86784684478573,117.30026682121245,754.9474683902231,94.76240854146609,0.20476291342018943,656.7672727591619,40.707485202834604,0.6566767736424113,8.674328172785996,0.823516130645074,0.7057719947873032,0.869950957196517
6,Malliss OP,Elbe,Muritz-Elde,1004,DE,2879.0,3161.95,53.190627,11.345254,11.425,53.175,NRT,calibrated,01/01/1980 00:00',31/12/2010 00:00',31/12/1990 00:00',0.867403,0.0809633,KGEJSD,Europe,ElbeOderEmsWeser,62.76301061176276,66.0163803100586,1.3809980386662184,1.3763548135757446,2.141029584122924,2.1292402744293213,0.0013584606553951,0.0010070860153064,1.0,1.0,50.0,50.0,50.0,50.0,0.3230958651817179,0.2872334718704223,0.0009702746263701,0.0,0.5506242170706849,0.6019567847251892,376.5821456391002,384.8105764179935,376.5821456391002,384.8105764179935,697.1071558630908,105.55419647798314,0.13883290251304842,636.8969366986626,41.47650060781324,0.6745414795824553,9.264209048895108,0.8089470514896008,0.6033947389164207,0.9136284591859026
9,Rathenow UP,Elbe,Lower Havel,1004,DE,19288.46,18271.3,52.607446,12.321014,12.325,52.625,efas,calibrated,01/01/1990 00:00',19/05/2010 00:00',17/05/1990 00:00',0.787487,0.0735495,KGEJSD,Europe,ElbeOderEmsWeser,77.71931776069512,57.4082260131836,1.2654688452346443,1.2471858263015747,2.114710326843325,2.125196695327759,0.0019426201660819,0.0011873361654579,1.0,1.0,50.0,50.0,50.0,50.0,0.450473129540678,0.4408133625984192,0.0005347152162407,0.0,0.4636736833804099,0.4515490531921386,341.4010182118232,335.3150141933057,341.4010182118232,335.3150141933057,665.5355879550425,104.00731052184003,0.1374862044944881,685.697076975994,45.27662311729019,0.6543191553744784,9.888637777452741,0.842163760837203,0.6010707832713011,1.0302936302518408
11,Calbe Grizehne,Elbe,Saale,1004,DE,23719.0,23560.46,51.916414,11.812211,11.825,51.925,HIST,calibrated,01/01/1980 00:00',31/12/2019 00:00',03/05/1997 00:00',0.849686,0.0399889,KGEJSD,Europe,ElbeOderEmsWeser,291.2208078883262,256.1271667480469,1.5327744303424993,1.531873345375061,2.3046526500728475,2.2974977493286133,0.0075746590203322,0.0056846956722438,1.0,1.0,50.0,50.0,50.0,50.0,0.2833670115349869,0.1914384067058563,0.0006908719281321,0.0,0.6469020949225989,0.7001359462738037,85.78032798170133,81.95510291668269,85.78032798170133,81.95510291668269,719.9878871056043,103.98642860898751,0.12418299401635587,659.4652338744653,43.47899117419254,0.6453542593772322,9.058406475217465,0.8407341067957003,0.6311763657070617,0.9159393452097593
12,Tangermuende,Elbe,Elbe,1004,DE,97780.0,97683.92,52.541308,11.978054,11.975,52.575,HIST,calibrated,01/01/1980 00:00',01/01/2011 00:00',29/12/1990 00:00',0.844505,0.0325032,KGEJSD,Europe,ElbeOderEmsWeser,367.7892302628803,355.6098327636719,1.4577236871321348,1.4580403566360474,2.2785095082075077,2.290160179138184,0.008225884323081,0.0056973616592586,1.0,1.0,50.0,50.0,50.0,50.0,0.3666964745919496,0.3325738310813904,0.0010640616344296,0.0,0.5718814049072556,0.5900602638721466,126.6188390046365,107.94064279633646,126.6188390046365,107.94064279633646,746.5389105855573,95.05931558925509,0.17414324658002717,659.183170939278,41.118246354709115,0.6525495123224798,8.837541094212495,0.8273148113142238,0.6766263179571548,0.8829856844598218
14,Wittenberge,Elbe,Elbe,1004,DE,123532.0,122945.86,52.985531,11.759441,11.775,52.975,NRT,calibrated,01/01/1980 00:00',01/01/2011 00:00',27/12/1990 00:00',0.850485,0.0228599,KGEJSD,Europe,ElbeOderEmsWeser,306.77654958217016,268.3841094970703,1.419338127497094,1.4237496256828308,2.2493949524614365,2.2557419538497925,0.0068969069610725,0.0039558804128319,1.0,1.0,50.0,50.0,50.0,50.0,0.3790827903058326,0.3503672033548355,0.0009421856048359,0.0,0.5569690646888893,0.572885736823082,174.81776195398675,121.89503041346616,174.81776195398675,121.89503041346616,730.0749721040844,94.25995526313783,0.1666779761932461,663.0595489358764,41.26011120470928,0.6538178759203617,9.037295041850248,0.8267582735880376,0.6595335904113367,0.9082074776853823
17,Havelberg Stadt,Elbe,Lower Havel waterway,1004,DE,23858.0,23639.57,52.824075,12.07804,12.075,52.825,NRT,calibrated,01/01/1980 00:00',31/12/2019 00:00',29/04/1997 00:00',0.784232,0.0721023,KGEJSD,Europe,ElbeOderEmsWeser,71.78144655086793,55.44994163513184,1.2633229037283509,1.24934184551239,2.13956149557138,2.147773265838623,0.0017495434440481,0.0010704610613174,1.0,1.0,50.0,50.0,50.0,50.0,0.439863683056647,0.4233475774526596,0.0005032286645705,0.0,0.4836286072578623,0.4825159311294555,358.48668193577186,353.6711663423936,358.48668193577186,353.6711663423936,664.548126969894,102.24843584962362,0.13549489898995937,679.5813730318731,44.32116813931377,0.6578492714486124,9.829880591248035,0.8350060963914646,0.6003839905587586,1.0226217567274254
18,Halle-Trotha UP,Elbe,Saale,1004,DE,17988.0,17857.22,51.514254,11.954551,11.925,51.525,NRT,calibrated,01/01/1980 00:00',31/12/2019 00:00',03/05/1997 00:00',0.841773,0.0723433,KGEJSD,Europe,ElbeOderEmsWeser,322.6516682429253,288.3039245605469,1.553106976681861,1.5545368194580078,2.3032516251334827,2.31706976890564,0.0081339940401898,0.0063311455305665,1.0,1.0,50.0,50.0,50.0,50.0,0.307122553174714,0.2430500760674476,0.0003269363785975,0.0,0.6195877434129341,0.6549591571092606,80.51841384838946,79.70306746944269,80.51841384838946,79.70306746944269,738.8592734764453,104.60298331358659,0.12078021264325875,656.4072815821781,43.708561977549174,0.6453795945547123,8.972189382960092,0.8386978609931314,0.6392176343681959,0.8884063652523193
19,Neu Darchau,Elbe,Elbe,1004,DE,131950.0,131611.79,53.232262,10.8888,10.975,53.225,NRT,calibrated,01/01/1980 00:00',01/01/2011 00:00',29/12/1990 00:00',0.875114,0.0104381,KGEJSD,Europe,ElbeOderEmsWeser,289.6859416130926,242.95684814453125,1.4178220945808468,1.421929121017456,2.241297600582385,2.249272108078003,0.0065476442799671,0.0034927160013467,1.0,1.0,50.0,50.0,50.0,50.0,0.3746378232548064,0.3411059379577636,0.0012161118338644,0.0,0.5609099892914144,0.5807048678398132,186.86592056250944,128.25048023315952,186.86592056250944,128.25048023315952,727.0990078484936,93.83008699779533,0.1640914968916028,662.6616501544172,41.04513473201809,0.6544974960306644,9.0780594385372,0.8253029469223468,0.6539759731682574,0.911377464418844
26,Hohensaaten-Finow,Oder,Oder,1004,DE,109564.0,111216.01,52.864739,14.141123,14.125,52.825,HIST,calibrated,16/08/2012 00:00',01/01/2024 00:00',16/08/2012 00:00',0.782066,0.015284,KGEJSD,Europe,ElbeOderEmsWeser,173.8980040459192,131.89061737060547,1.243341755802524,1.2185938358306885,2.038790087229956,2.0342990159988403,0.003718005218007,0.0017814865568652,1.0,1.0,50.0,50.0,50.0,50.0,0.3750824607823689,0.3204521834850311,0.0002006858307824,0.0,0.5732364318078966,0.6077617853879929,304.2405117319109,309.2167445717226,304.2405117319109,309.2167445717226,707.4966939954703,94.51692911193483,0.200127818757999,681.8803773175765,45.2513239623235,0.6557425412121513,9.212977350736205,0.8458319397544299,0.6807463834958133,0.9637930227868206
27,Leun (Neu),Rhine,Lahn,1004,DE,3571.0,3632.23,50.545134,8.355275,8.375,50.525,NRT,calibrated,16/08/2012 00:00',01/01/2024 00:00',16/08/2012 00:00',0.782363,0.0653841,KGEJSD,Europe,RhineMaasScheldtSeine,323.00301594111824,304.9500732421875,1.672987791866552,1.6540279388427734,2.416868070057396,2.428816556930542,0.0089002328648556,0.0074534825980663,1.0,1.0,50.0,50.0,50.0,50.0,0.5172781720837,0.5187057852745056,0.0,0.0,0.4231288918007037,0.4193605780601501,68.31687745971068,69.32294431779681,68.31687745971068,69.32294431779681,804.639719177965,112.92592900390983,0.07843200767430791,643.975512561056,39.13723333727529,0.6670590657175323,9.196796086771723,0.7638268771562722,0.5907241561824919,0.8003277705691106
28,Maxau,Rhine,Rhine,1004,DE,50196.0,50777.11,49.038957,8.305614,8.275,49.025,NRT,calibrated,23/08/2012 00:00',01/01/2024 00:00',23/08/2012 00:00',0.935277,0.0127558,KGEJSD,Europe,RhineMaasScheldtSeine,857.509369841051,643.6650390625,1.999183818851704,1.861602544784546,2.6335708083900182,2.6595308780670166,0.0306696933243449,0.01559041114524,1.0,1.0,50.0,50.0,50.0,50.0,0.4122596872881185,0.3994472920894623,0.0052592260737488,0.0,0.496975932176574,0.4875103831291199,87.22722016518317,79.26318157067973,87.22722016518317,79.26318157067973,1383.968247628337,153.81072727383037,0.14064283241301503,652.16696968309,28.951777050969053,0.6242410507757645,7.881654938230681,0.6753300688820698,0.7365731844802635,0.47122971990194723
31,Frankfurt-Osthafen,Rhine,Main,1004,DE,24764.0,24726.77,50.105711,8.715027,8.725,50.125,NRT,calibrated,13/10/2013 00:00',01/01/2024 00:00',13/10/2013 00:00',0.889361,0.017431,KGEJSD,Europe,RhineMaasScheldtSeine,358.748475825888,347.8894348144531,1.498070461533913,1.4981913566589355,2.340939285895159,2.3274614810943604,0.0076913693241384,0.0059046451933681,1.0,1.0,50.0,50.0,50.0,50.0,0.4623160567819158,0.4423970282077789,0.0001378069966938,0.0,0.4709979933812908,0.4779067635536194,81.23968657837932,79.33576247793016,81.23968657837932,79.33576247793016,833.3321946820156,118.51856170060913,0.08440918669624001,667.3420422768438,38.993024990202876,0.6686174958628391,9.373694591796218,0.741693697297589,0.6174844802927291,0.8008115449463576
33,Plochingen,Rhine,Neckar,1004,DE,3995.0,3948.83,48.707411,9.419239,9.425,48.725,NRT,calibrated,16/08/2012 00:00',01/01/2024 00:00',16/08/2012 00:00',0.804563,0.03352,KGEJSD,Europe,RhineMaasScheldtSeine,554.1221491964238,555.1161804199219,1.661759179554651,1.6721126437187197,2.6482643752166592,2.655935287475586,0.0098208716665772,0.0074629446025937,1.0,1.0,50.0,50.0,50.0,50.0,0.4251526499005346,0.4331990629434585,0.0,0.0,0.4771901579174404,0.4708009660243988,56.70696894143524,51.1253399656912,56.70696894143524,51.1253399656912,1031.170241803014,135.39298454780618,0.12394122455978705,662.2901581711576,34.584211250959015,0.6375728802593982,8.953827313637964,0.7277897172378619,0.6382401118780299,0.6422704334573649
36,Kaub,Rhine,Rhine,1004,DE,103488.0,103792.93,50.085407,7.764994,7.775,50.075,HIST,calibrated,01/01/1980 00:00',31/12/2019 00:00',05/05/1997 00:00',0.913265,0.0163938,KGEJSD,Europe,RhineMaasScheldtSeine,597.3558304934546,426.0069580078125,1.7414813849727817,1.5936267375946045,2.5248632151867687,2.511321783065796,0.0190671859912993,0.0083132716827094,1.0,1.0,50.0,50.0,50.0,50.0,0.4274790790468109,0.4113762527704239,0.0051809095992169,0.0,0.4822623196294071,0.4799137389659881,82.80051285634754,76.2360710064064,82.80051285634754,76.2360710064064,1110.1763633905641,129.92055214711587,0.11376679857198713,664.5139281598629,33.17861274234923,0.6423546228057391,8.781825514471405,0.7009429654009266,0.6565482084986501,0.5985660928056387
38,Cochem,Rhine,Moselle,1004,DE,27088.0,27071.3,50.143322,7.16831,7.175,50.125,NRT,calibrated,28/09/2012 00:00',01/01/2024 00:00',28/09/2012 00:00',0.927403,0.0110456,KGEJSD,Europe,RhineMaasScheldtSeine,342.8499695078101,308.0169219970703,1.697845289997973,1.685631275177002,2.5339271935906287,2.5019296407699585,0.0075553407907454,0.0049854048993438,1.0,1.0,50.0,50.0,50.0,50.0,0.4371044193131026,0.4222116619348526,0.0,0.0,0.5023815297546288,0.4996172189712524,68.38561861479855,67.7702372943122,68.38561861479855,67.7702372943122,920.666413731136,110.10005431543176,0.08648155395853366,688.1089823018035,39.54332877068324,0.6524706168400324,9.885368310390128,0.705016005896098,0.5448422832777902,0.7474031549746022
40,Koeln,Rhine,Rhine,1004,DE,144231.54,144451.78,50.936914,6.963322,6.975,50.925,HIST,calibrated,01/01/1980 00:00',31/12/2019 00:00',30/04/1997 00:00',0.92017,0.0162123,KGEJSD,Europe,RhineMaasScheldtSeine,521.9258271781904,373.9292297363281,1.7259993542210064,1.6352052092552185,2.522815337873472,2.5044115781784058,0.0160375755265112,0.0075364352669566,1.0,1.0,50.0,50.0,50.0,50.0,0.4384190452002532,0.425803005695343,0.0037248173433304,0.0,0.477801194309722,0.4750696122646332,78.23510749747602,71.47554911452428,78.23510749747602,71.47554911452428,1051.3305227352762,121.11488308781767,0.09508655066545106,667.3387971467994,34.084277655073834,0.6455627613928567,9.05219582944412,0.7023419926745605,0.6245328732549883,0.6347564183816953
42,Kalkofen (Neu),Rhine,Lahn,1004,DE,5304.0,5313.59,50.317832,7.889898,7.925,50.325,NRT,calibrated,16/08/2012 00:00',01/01/2024 00:00',16/08/2012 00:00',0.826803,0.0696192,KGEJSD,Europe,RhineMaasScheldtSeine,318.3275105032036,305.0007781982422,1.6811190012616533,1.659681797027588,2.4370964019589554,2.449017286300659,0.0097486210916917,0.0086020845919847,1.0,1.0,50.0,50.0,50.0,50.0,0.5082620601728465,0.5069599449634552,0.0,0.0,0.4320819046007359,0.434724897146225,70.23727824630443,69.6424434894783,70.23727824630443,69.6424434894783,805.9897787808158,109.47066814366435,0.08012771459103517,646.3345504781615,38.806492049337564,0.6661446624026773,9.289098997559858,0.7619140570371175,0.585410120651855,0.8019140781857588
45,Worms,Rhine,Rhine,1004,DE,68936.0,69519.79,49.631858,8.377548,8.375,49.675,NRT,calibrated,17/08/2012 00:00',01/01/2024 00:00',17/08/2012 00:00',0.939505,0.00898641,KGEJSD,Europe,RhineMaasScheldtSeine,727.4586270918016,528.6917114257812,1.8616249387974824,1.7149412631988523,2.6098637936336786,2.634541749954224,0.0244761748959611,0.0108518581837415,1.0,1.0,50.0,50.0,50.0,50.0,0.4175289363746265,0.3997573852539062,0.0045277641793456,0.0,0.487729931621528,0.4828565120697021,83.73916497375835,73.75016562984678,83.73916497375835,73.75016562984678,1257.6683085917489,144.10676607295355,0.12619447730730007,660.5895976075797,31.089857715927174,0.6305643569075327,8.399385827058909,0.6877999833104004,0.688739500391965,0.5252494581399311
