ID,name,basin,river,provider,iso,DrainageArea_prov,DrainageArea_LDD,lat,long,LISFLOOD_X,LISFLOOD_Y,SourceGlo,GlofasV5,Obs_start,Obs_end,Split_date_CALstart,KGEmod,JSD,Function,Region,Basin,glacier_frac
4,Barby,Elbe,Elbe,1004,DE,94060.0,93699.47,51.984836,11.882244,11.875,52.025,NRT,calibrated,01/01/1980 00:00',01/01/2000 00:00',01/01/1980 00:00',0.843939,0.0302549,KGEJSD,Europe,ElbeOderEmsWeser,0.0
5,Wittenberg / Lutherstadt,Elbe,Elbe,1004,DE,61879.0,60938.53,51.856531,12.646309,12.625,51.875,NRT,calibrated,01/01/1980 00:00',01/01/2011 00:00',01/01/1991 00:00',0.834721,0.00902574,KGEJSD,Europe,ElbeOderEmsWeser,0.0
6,Malliss OP,Elbe,Muritz-Elde,1004,DE,2879.0,3161.95,53.190627,11.345254,11.425,53.175,NRT,calibrated,01/01/1980 00:00',31/12/2010 00:00',31/12/1990 00:00',0.867403,0.0809633,KGEJSD,Europe,ElbeOderEmsWeser,0.0
9,Rathenow UP,Elbe,Lower Havel,1004,DE,19288.46,18271.3,52.607446,12.321014,12.325,52.625,efas,calibrated,01/01/1990 00:00',19/05/2010 00:00',17/05/1990 00:00',0.787487,0.0735495,KGEJSD,Europe,ElbeOderEmsWeser,0.0
11,Calbe Grizehne,Elbe,Saale,1004,DE,23719.0,23560.46,51.916414,11.812211,11.825,51.925,HIST,calibrated,01/01/1980 00:00',31/12/2019 00:00',03/05/1997 00:00',0.849686,0.0399889,KGEJSD,Europe,ElbeOderEmsWeser,0.0
12,Tangermuende,Elbe,Elbe,1004,DE,97780.0,97683.92,52.541308,11.978054,11.975,52.575,HIST,calibrated,01/01/1980 00:00',01/01/2011 00:00',29/12/1990 00:00',0.844505,0.0325032,KGEJSD,Europe,ElbeOderEmsWeser,0.0
14,Wittenberge,Elbe,Elbe,1004,DE,123532.0,122945.86,52.985531,11.759441,11.775,52.975,NRT,calibrated,01/01/1980 00:00',01/01/2011 00:00',27/12/1990 00:00',0.850485,0.0228599,KGEJSD,Europe,ElbeOderEmsWeser,0.0
17,Havelberg Stadt,Elbe,Lower Havel waterway,1004,DE,23858.0,23639.57,52.824075,12.07804,12.075,52.825,NRT,calibrated,01/01/1980 00:00',31/12/2019 00:00',29/04/1997 00:00',0.784232,0.0721023,KGEJSD,Europe,ElbeOderEmsWeser,0.0
18,Halle-Trotha UP,Elbe,Saale,1004,DE,17988.0,17857.22,51.514254,11.954551,11.925,51.525,NRT,calibrated,01/01/1980 00:00',31/12/2019 00:00',03/05/1997 00:00',0.841773,0.0723433,KGEJSD,Europe,ElbeOderEmsWeser,0.0
19,Neu Darchau,Elbe,Elbe,1004,DE,131950.0,131611.79,53.232262,10.8888,10.975,53.225,NRT,calibrated,01/01/1980 00:00',01/01/2011 00:00',29/12/1990 00:00',0.875114,0.0104381,KGEJSD,Europe,ElbeOderEmsWeser,0.0
