ID,name,basin,river,provider,iso,DrainageArea_prov,DrainageArea_LDD,lat,long,LISFLOOD_X,LISFLOOD_Y,SourceGlo,GlofasV5,Obs_start,Obs_end,Split_date_CALstart,KGEmod,JSD,Function,Region,Basin,CalChanMan1,CalChanMan3,GwLoss,GwPercValue,LZThreshold,LakeMultiplier,LowerZoneTimeConstant,PowerPrefFlow,SnowMeltCoef,TransSub,UpperZoneTimeConstant,b_Xinanjiang
4,Barby,Elbe,Elbe,1004,DE,94060.0,93699.47,51.984836,11.882244,11.875,52.025,NRT,calibrated,01/01/1980 00:00',01/01/2000 00:00',01/01/1980 00:00',0.843939,0.0302549,KGEJSD,Europe,ElbeOderEmsWeser,5.0,1.04253,0.0,0.01,9.18135,1.0,95.196,3.20421,5.26617,0.0262388,17.4641,0.535906
5,Wittenberg / Lutherstadt,Elbe,Elbe,1004,DE,61879.0,60938.53,51.856531,12.646309,12.625,51.875,NRT,calibrated,01/01/1980 00:00',01/01/2011 00:00',01/01/1991 00:00',0.834721,0.00902574,KGEJSD,Europe,ElbeOderEmsWeser,1.67375,4.89613,0.19808,0.34434,9.68304,1.0,84.9059,3.19004,4.07802,0.00392367,23.4535,1.03496
6,Malliss OP,Elbe,Muritz-Elde,1004,DE,2879.0,3161.95,53.190627,11.345254,11.425,53.175,NRT,calibrated,01/01/1980 00:00',31/12/2010 00:00',31/12/1990 00:00',0.867403,0.0809633,KGEJSD,Europe,ElbeOderEmsWeser,4.92202,0.824251,0.255436,0.901287,30.0,1.0,714.471,6.82104,5.35921,0.0225895,27.2065,0.336509
9,Rathenow UP,Elbe,Lower Havel,1004,DE,19288.46,18271.3,52.607446,12.321014,12.325,52.625,efas,calibrated,01/01/1990 00:00',19/05/2010 00:00',17/05/1990 00:00',0.787487,0.0735495,KGEJSD,Europe,ElbeOderEmsWeser,2.44383,4.34612,0.0568432,0.579091,11.651,1.0,615.083,3.17946,2.65902,0.00719838,18.1227,1.13784
11,Calbe Grizehne,Elbe,Saale,1004,DE,23719.0,23560.46,51.916414,11.812211,11.825,51.925,HIST,calibrated,01/01/1980 00:00',31/12/2019 00:00',03/05/1997 00:00',0.849686,0.0399889,KGEJSD,Europe,ElbeOderEmsWeser,5.0,1.04253,0.0,0.01,9.18135,1.0,95.196,3.20421,5.26617,0.0262388,17.4641,0.535906
12,Tangermuende,Elbe,Elbe,1004,DE,97780.0,97683.92,52.541308,11.978054,11.975,52.575,HIST,calibrated,01/01/1980 00:00',01/01/2011 00:00',29/12/1990 00:00',0.844505,0.0325032,KGEJSD,Europe,ElbeOderEmsWeser,1.6841,4.99686,0.19579,0.236873,20.1395,1.0,414.195,2.96872,4.42391,0.00736577,20.1046,2.56762
14,Wittenberge,Elbe,Elbe,1004,DE,123532.0,122945.86,52.985531,11.759441,11.775,52.975,NRT,calibrated,01/01/1980 00:00',01/01/2011 00:00',27/12/1990 00:00',0.850485,0.0228599,KGEJSD,Europe,ElbeOderEmsWeser,2.48969,1.64271,0.558334,0.606314,11.556,1.0,278.691,7.59193,3.28363,0.0054987,0.01,0.211558
17,Havelberg Stadt,Elbe,Lower Havel waterway,1004,DE,23858.0,23639.57,52.824075,12.07804,12.075,52.825,NRT,calibrated,01/01/1980 00:00',31/12/2019 00:00',29/04/1997 00:00',0.784232,0.0721023,KGEJSD,Europe,ElbeOderEmsWeser,2.48969,1.64271,0.558334,0.606314,11.556,1.0,278.691,7.59193,3.28363,0.0054987,0.01,0.211558
18,Halle-Trotha UP,Elbe,Saale,1004,DE,17988.0,17857.22,51.514254,11.954551,11.925,51.525,NRT,calibrated,01/01/1980 00:00',31/12/2019 00:00',03/05/1997 00:00',0.841773,0.0723433,KGEJSD,Europe,ElbeOderEmsWeser,4.95582,1.0,0.0588959,0.434169,15.2356,1.0,340.225,5.90529,4.20283,0.0313518,12.4418,0.149725
19,Neu Darchau,Elbe,Elbe,1004,DE,131950.0,131611.79,53.232262,10.8888,10.975,53.225,NRT,calibrated,01/01/1980 00:00',01/01/2011 00:00',29/12/1990 00:00',0.875114,0.0104381,KGEJSD,Europe,ElbeOderEmsWeser,4.92202,0.824251,0.255436,0.901287,30.0,1.0,714.471,6.82104,5.35921,0.0225895,27.2065,0.336509
26,Hohensaaten-Finow,Oder,Oder,1004,DE,109564.0,111216.01,52.864739,14.141123,14.125,52.825,HIST,calibrated,16/08/2012 00:00',01/01/2024 00:00',16/08/2012 00:00',0.782066,0.015284,KGEJSD,Europe,ElbeOderEmsWeser,4.92027,1.0,0.0806384,1.0231,21.8571,1.0,440.861,2.55548,3.82196,0.0192493,25.9865,1.20511
27,Leun (Neu),Rhine,Lahn,1004,DE,3571.0,3632.23,50.545134,8.355275,8.375,50.525,NRT,calibrated,16/08/2012 00:00',01/01/2024 00:00',16/08/2012 00:00',0.782363,0.0653841,KGEJSD,Europe,RhineMaasScheldtSeine,3.67092,1.0,0.1422,1.02401,24.6611,1.0,127.316,1.30121,4.38405,0.0305675,3.4152,2.64316
28,Maxau,Rhine,Rhine,1004,DE,50196.0,50777.11,49.038957,8.305614,8.275,49.025,NRT,calibrated,23/08/2012 00:00',01/01/2024 00:00',23/08/2012 00:00',0.935277,0.0127558,KGEJSD,Europe,RhineMaasScheldtSeine,1.17398,2.49133,0.0955008,0.513155,18.6222,1.0,365.202,1.61744,3.89745,0.0034626,26.5909,2.64214
31,Frankfurt-Osthafen,Rhine,Main,1004,DE,24764.0,24726.77,50.105711,8.715027,8.725,50.125,NRT,calibrated,13/10/2013 00:00',01/01/2024 00:00',13/10/2013 00:00',0.889361,0.017431,KGEJSD,Europe,RhineMaasScheldtSeine,4.85038,1.0,0.223524,0.923211,8.51872,1.0,135.109,1.56941,4.4857,0.0288922,13.0172,2.37501
33,Plochingen,Rhine,Neckar,1004,DE,3995.0,3948.83,48.707411,9.419239,9.425,48.725,NRT,calibrated,16/08/2012 00:00',01/01/2024 00:00',16/08/2012 00:00',0.804563,0.03352,KGEJSD,Europe,RhineMaasScheldtSeine,5.0,1.0,0.483315,1.13466,10.5257,1.0,301.98,2.13952,5.28356,0.00284531,19.3127,2.13572
36,Kaub,Rhine,Rhine,1004,DE,103488.0,103792.93,50.085407,7.764994,7.775,50.075,HIST,calibrated,01/01/1980 00:00',31/12/2019 00:00',05/05/1997 00:00',0.913265,0.0163938,KGEJSD,Europe,RhineMaasScheldtSeine,3.74609,1.0,0.289835,0.935828,19.06,1.0,460.071,1.42108,5.0633,0.0351158,11.0032,1.14895
38,Cochem,Rhine,Moselle,1004,DE,27088.0,27071.3,50.143322,7.16831,7.175,50.125,NRT,calibrated,28/09/2012 00:00',01/01/2024 00:00',28/09/2012 00:00',0.927403,0.0110456,KGEJSD,Europe,RhineMaasScheldtSeine,3.02622,1.0,0.135665,0.937375,25.7724,1.0,105.171,1.597,3.88108,0.0237651,4.84546,2.88116
40,Koeln,Rhine,Rhine,1004,DE,144231.54,144451.78,50.936914,6.963322,6.975,50.925,HIST,calibrated,01/01/1980 00:00',31/12/2019 00:00',30/04/1997 00:00',0.92017,0.0162123,KGEJSD,Europe,RhineMaasScheldtSeine,4.71683,0.5,0.564908,0.564908,11.1671,1.0,104.936,4.46444,4.9936,0.0103045,6.43375,1.29635
42,Kalkofen (Neu),Rhine,Lahn,1004,DE,5304.0,5313.59,50.317832,7.889898,7.925,50.325,NRT,calibrated,16/08/2012 00:00',01/01/2024 00:00',16/08/2012 00:00',0.826803,0.0696192,KGEJSD,Europe,RhineMaasScheldtSeine,3.67092,1.0,0.1422,1.02401,24.6611,1.0,127.316,1.30121,4.38405,0.0305675,3.4152,2.64316
45,Worms,Rhine,Rhine,1004,DE,68936.0,69519.79,49.631858,8.377548,8.375,49.675,NRT,calibrated,17/08/2012 00:00',01/01/2024 00:00',17/08/2012 00:00',0.939505,0.00898641,KGEJSD,Europe,RhineMaasScheldtSeine,1.87006,4.60799,0.136132,1.06236,10.2374,1.0,404.019,5.35923,2.64107,0.00687307,21.3294,0.225222
47,Ruhrort,Rhine,Rhine,1004,DE,153176.0,153667.78,51.455309,6.727942,6.725,51.475,HIST,calibrated,01/01/1980 00:00',31/12/2019 00:00',02/05/1997 00:00',0.923757,0.0186231,KGEJSD,Europe,RhineMaasScheldtSeine,4.60648,0.5,0.386252,0.453771,28.8812,1.0,419.756,8.0,3.80882,0.00149347,2.03435,1.40407
51,St.Arnual,Rhine,Saar,1004,DE,3945.0,3960.22,49.214863,7.022796,7.025,49.225,NRT,calibrated,23/08/2012 00:00',01/01/2024 00:00',23/08/2012 00:00',0.889676,0.0204603,KGEJSD,Europe,RhineMaasScheldtSeine,3.91779,1.0,0.0218012,1.00481,22.9495,1.0,87.2383,1.40972,4.22294,0.0334783,9.42731,2.25047
58,Düsseldorf,Rhine,Rhine,1004,DE,147680.43,147773.77,51.225463,6.769909,6.725,51.225,NRT,calibrated,16/08/2012 00:00',01/01/2024 00:00',16/08/2012 00:00',0.943695,0.0150872,KGEJSD,Europe,RhineMaasScheldtSeine,4.24974,0.851298,0.773586,1.41934,12.8328,1.0,334.772,7.09254,6.10189,0.0103828,24.3843,4.6912
59,Steinbach,Rhine,Main,1004,DE,17914.2,17964.73,50.009961,9.60371,9.625,50.025,NRT,calibrated,16/08/2012 00:00',01/01/2024 00:00',16/08/2012 00:00',0.879503,0.00541015,KGEJSD,Europe,RhineMaasScheldtSeine,4.85038,1.0,0.223524,0.923211,8.51872,1.0,135.109,1.56941,4.4857,0.0288922,13.0172,2.37501
60,Fremersdorf,Rhine,Saar,1004,DE,6983.0,7016.23,49.408914,6.648444,6.675,49.375,NRT,calibrated,24/08/2012 00:00',01/01/2024 00:00',24/08/2012 00:00',0.900586,0.0165993,KGEJSD,Europe,RhineMaasScheldtSeine,2.37539,1.0,0.0020412,0.421555,26.8163,1.0,627.137,3.31257,4.46608,0.0409313,2.75379,0.57494
62,Bonn,Rhine,Rhine,1004,DE,140901.0,141121.85,50.736364,7.10807,7.125,50.725,NRT,calibrated,16/08/2012 00:00',01/01/2024 00:00',16/08/2012 00:00',0.946236,0.0132545,KGEJSD,Europe,RhineMaasScheldtSeine,3.67092,1.0,0.1422,1.02401,24.6611,1.0,127.316,1.30121,4.38405,0.0305675,3.4152,2.64316
63,Speyer,Rhine,Rhine,1004,DE,53131.0,53071.72,49.323786,8.44876,8.475,49.275,NRT,calibrated,17/08/2012 00:00',01/01/2024 00:00',17/08/2012 00:00',0.936382,0.0117479,KGEJSD,Europe,RhineMaasScheldtSeine,3.58051,4.97744,0.122091,0.400279,20.3412,1.0,467.645,3.09658,3.91458,0.0692368,20.2703,0.01
73,Zwickau-Poelbitz,Elbe,Zwickau Mulde,1007,DE,1030.0,1025.17,50.740921,12.493595,12.475,50.725,NRT,calibrated,01/01/1980 00:00',31/12/2021 00:00',07/09/1994 00:00',0.744969,0.0218375,KGEJSD,Europe,ElbeOderEmsWeser,5.0,1.0,0.0748222,0.596866,22.5579,1.0,129.206,1.17374,4.0308,0.00362899,8.25703,3.10775
75,Wechselburg 1,Elbe,Zwickau Mulde,1007,DE,2107.0,2142.26,51.006848,12.772535,12.775,51.025,NRT,calibrated,21/04/2009 00:00',16/03/2023 00:00',21/04/2009 00:00',0.776079,0.0120556,KGEJSD,Europe,ElbeOderEmsWeser,5.0,1.0,0.00715759,0.862267,23.4632,1.0,277.271,4.50049,3.96358,0.0338876,2.77828,1.38033
