efas,name,basin,river,provider,iso,DrainageArea_prov,DrainageArea_LDD,lat,long,LISFLOOD_X,LISFLOOD_Y,GlofasID,note,oldnotes,SourceGlo,GlofasV5
4,Barby,Elbe,Elbe,1004,DE,94060,93699.47,51.984836,11.882244,11.875,52.025, , , ,NRT,calibrated
5,Wittenberg / Lutherstadt,Elbe,Elbe,1004,DE,61879,60938.53,51.856531,12.646309,12.625,51.875, , , ,NRT,calibrated
6,Malliss OP,Elbe,Muritz-Elde,1004,DE,2879,3161.95,53.190627,11.345254,11.425,53.175, ,flow changes in 1992 regulated,unrealistic low discharge same for daily data  possibly wrong location/low discharge but seems OK,NRT,calibrated
9,Rathenow UP,Elbe,Lower Havel,1004,DE,19288.46,18271.3,52.607446,12.321014,12.325,52.625, ,flow ok, ,efas,calibrated
11,Calbe Grizehne,Elbe,Saale,1004,DE,23719,23560.46,51.916414,11.812211,11.825,51.925, , , ,HIST,calibrated
12,Tangermuende,Elbe,Elbe,1004,DE,97780,97683.92,52.541308,11.978054,11.975,52.575, , , ,HIST,calibrated
14,Wittenberge,Elbe,Elbe,1004,DE,123532,122945.86,52.985531,11.759441,11.775,52.975, ,flow ok, ,NRT,calibrated
17,Havelberg Stadt,Elbe,Lower Havel waterway,1004,DE,23858,23639.57,52.824075,12.07804,12.075,52.825, ,flow ok gap from 2011 to 2013,Outliers exclude 2013 flood  negative values removed with qc /minor outliers,NRT,calibrated
18,Halle-Trotha UP,Elbe,Saale,1004,DE,17988,17857.22,51.514254,11.954551,11.925,51.525, ,flow ok gap from 2011 to 2013, ,NRT,calibrated
19,Neu Darchau,Elbe,Elbe,1004,DE,131950,131611.79,53.232262,10.8888,10.975,53.225, ,flow ok, ,NRT,calibrated
26,Hohensaaten-Finow,Oder,Oder,1004,DE,109564,111216.01,52.864739,14.141123,14.125,52.825, ,flow ok gap from 2011 to 2013, ,HIST,calibrated
27,Leun (Neu),Rhine,Lahn,1004,DE,3571,3632.23,50.545134,8.355275,8.375,50.525, ,flow ok gap from 2011 to 2013, ,NRT,calibrated
28,Maxau,Rhine,Rhine,1004,DE,50196,50777.11,49.038957,8.305614,8.275,49.025, ,flow ok gap from 2011 to 2013 many small gaps 2014, ,NRT,calibrated
31,Frankfurt-Osthafen,Rhine,Main,1004,DE,24764,24726.77,50.105711,8.715027,8.725,50.125, ,flow ok, ,NRT,calibrated
33,Plochingen,Rhine,Neckar,1004,DE,3995,3948.83,48.707411,9.419239,9.425,48.725, ,flow ok gap from 2011 to 2013 many small gaps 2014, ,NRT,calibrated
36,Kaub,Rhine,Rhine,1004,DE,103488,103792.93,50.085407,7.764994,7.775,50.075, ,flow ok gap from 2011 to 2013 many small gaps 2014, ,HIST,calibrated
38,Cochem,Rhine,Moselle,1004,DE,27088,27071.3,50.143322,7.16831,7.175,50.125, ,flow ok gap from 2011 to 2013 many small gaps 2014, ,NRT,calibrated
40,Koeln,Rhine,Rhine,1004,DE,144231.54,144451.78,50.936914,6.963322,6.975,50.925, ,flow ok gap from 2011 to 2013 many small gaps 2014,Few outliers removed with qc close to 58 and 62/close to 58 and 62,HIST,calibrated
42,Kalkofen (Neu),Rhine,Lahn,1004,DE,5304,5313.59,50.317832,7.889898,7.925,50.325, ,flow ok gap from 2011 to 2013 many small gaps 2014, ,NRT,calibrated
45,Worms,Rhine,Rhine,1004,DE,68936,69519.79,49.631858,8.377548,8.375,49.675, ,flow ok gap from 2011 to 2013, ,NRT,calibrated
47,Ruhrort,Rhine,Rhine,1004,DE,153176,153667.78,51.455309,6.727942,6.725,51.475, ,flow ok gap from 2011 to 2013 many small gaps 2014, ,HIST,calibrated
51,St.Arnual,Rhine,Saar,1004,DE,3945,3960.22,49.214863,7.022796,7.025,49.225, ,flow ok, ,NRT,calibrated
58,Düsseldorf,Rhine,Rhine,1004,DE,147680.43,147773.77,51.225463,6.769909,6.725,51.225, ,flow ok, ,NRT,calibrated
59,Steinbach,Rhine,Main,1004,DE,17914.2,17964.73,50.009961,9.60371,9.625,50.025, ,flow ok gap from 2011 to 2013 many small gaps 2014, ,NRT,calibrated
60,Fremersdorf,Rhine,Saar,1004,DE,6983,7016.23,49.408914,6.648444,6.675,49.375, ,flow ok gap from 2011 to 2013 many small gaps 2014, ,NRT,calibrated
62,Bonn,Rhine,Rhine,1004,DE,140901,141121.85,50.736364,7.10807,7.125,50.725, ,flow ok, ,NRT,calibrated
63,Speyer,Rhine,Rhine,1004,DE,53131,53071.72,49.323786,8.44876,8.475,49.275, ,flow ok gap from 2011 to 2013 many small gaps 2014, ,NRT,calibrated
73,Zwickau-Poelbitz,Elbe,Zwickau Mulde,1007,DE,1030,1025.17,50.740921,12.493595,12.475,50.725, ,flow ok, ,NRT,calibrated
75,Wechselburg 1,Elbe,Zwickau Mulde,1007,DE,2107,2142.26,51.006848,12.772535,12.775,51.025, ,flow ok,close to 80/close to 80,NRT,calibrated
78,Torgau,Elbe,Elbe,1007,DE,55211,55441.79,51.553713,13.01012,13.025,51.575, ,flow ok, ,HIST,calibrated
79,Lichtenwalde 1,Elbe,Zschopau,1007,DE,1575,1573.39,50.886191,13.020015,13.025,50.875, ,flow ok gap 2011 12 13 15 18 a 21, ,NRT,calibrated
81,Kleindalzig,Elbe,White Elster,1007,DE,2891,2849.03,51.210414,12.291583,12.275,51.225, ,flow ok artificial chanel and lake above, ,NRT,calibrated
83,Bad Dueben 1,Elbe,United Mulde,1007,DE,6171,6188.68,51.590779,12.580715,12.575,51.575, ,flow ok gap 2011 12 13 15 18 a 21, ,NRT,calibrated
85,Boehlen 1,Elbe,Pleisse,1007,DE,1359,1289.89,51.211917,12.387218,12.375,51.225, ,flow ok gap 2011 12 13 15 18 a 21, ,NRT,calibrated
86,Neuwiese,Elbe,Blacl Elster,1007,DE,669,679.12,51.476458,14.197033,14.225,51.475, ,flow ok gap 2011 12 13 15 18 a 21, ,NRT,calibrated
89,Dresden,Elbe,Elbe,1007,DE,53096,53051.05,51.054481,13.738831,13.725,51.075, ,flow ok, ,HIST,calibrated
93,Spreewitz,Elbe,Spree,1007,DE,2033,2096.91,51.510861,14.404286,14.425,51.525, ,flow ok gap 2011 12 13 15 18 a 21, ,NRT,calibrated
94,Goerlitz,Oder,Lusatian Neisse,1007,DE,1621,1642.46,51.161195,14.993189,14.975,51.125, ,flow ok gap 2011 12 13 15 18 a 21, ,NRT,calibrated
95,Gornja Radgona,Danube,Mur,1005,SI,10197.2,10411.5,46.6811,15.9956,16.025,46.675, ,flow ok gap 2013 and 2019, ,NRT,calibrated
96,Ptuj,Danube,Drava,1005,SI,13664.1,13778.92,46.4169,15.8675,15.825,46.425, ,flow ok, ,NRT,calibrated
98,Radovljica,Danube,Sava,1005,SI,907.97,919.49,46.34,14.1654,14.175,46.325, ,flow ok gap 2013 and 2019, ,NRT,calibrated
106,Veliko Širje,Danube,Savinja,1005,SI,1841.9,1798.91,46.0919,15.1924,15.225,46.075, ,flow ok gap 2013 and 2015, ,NRT,calibrated
107,Podbočje,Danube,Krka,1005,SI,2238.12,1793.17,45.8644,15.4555,15.525,45.875, , , ,NRT,calibrated
108,Solkan,Soca/Isonzo,Soca,1005,SI,1572.8,1437.89824,45.98162,13.65517,13.625,45.975, ,flow ok, ,NRT,calibrated
109,Bollendorf,Rhine,Saar,1010,DE,3222,3277.75,49.850921,6.359171,6.325,49.825, ,some gaps in 2012 but flow ok, ,NRT,calibrated
113,Martinstein,Rhine,Nahe,1010,DE,1468,1501.41,49.803795,7.536,7.525,49.825, ,flow ok gap 2013 and 2016 17 18 19 20, ,NRT,calibrated
114,Odenbach,Rhine,Glan,1010,DE,1085.53,1067.25,49.68892,7.652247,7.675,49.675, ,flow ok gap 2013 and 2016 17 18 19 20, ,NRT,calibrated
117,Bad Vilbel,Rhine,Nidda,1009,DE,1619.3,1701.2,50.182246,8.741063,8.725,50.175, ,flow ok, ,NRT,calibrated
118,Hanau,Rhine,Kinzig,1009,DE,921.2,911.78,50.132084,8.94581,8.975,50.175, ,flow ok, ,NRT,calibrated
120,Marburg,Rhine,Lahn,1009,DE,1666.2,1665.38,50.798714,8.764476,8.775,50.775, ,flow ok, ,NRT,calibrated
125,Kemihaara,Kemijoki,Kemijoki,1011,FI,8538,8560.75,67.198533,27.785512,27.825,67.175, , , ,efas,calibrated
128,Vikajärvi  luusua,Kemijoki,Raudanjoki,1011,FI,3017,2906.64,66.621822,26.219519,26.225,66.625, , , ,efas,calibrated
