ID,name,basin,river,provider,iso,DrainageArea_prov,DrainageArea_LDD,lat,lon,grid_x,grid_y,SourceGlo,GlofasV5,Obs_start,Obs_end,Split_date_CALstart,KGEmod,JSD,Function,Region,elv_mean,elv_median,laii_mean,laii_median,laif_mean,laif_median,gradient_mean,gradient_median,lusemask_mean,lusemask_median,soildepth1_f_mean,soildepth1_f_median,soildepth1_o_mean,soildepth1_o_median,fracforest_mean,fracforest_median,fracirrigated_mean,fracirrigated_median,fracother_mean,fracother_median,ksat1_f_mean,ksat1_f_median,ksat1_o_mean,ksat1_o_median,tp_mean_annual,tp_std_interann,tp_seasonality,eT0_mean_annual,eT0_std_interann,eT0_seasonality,ta_mean,ta_std_interann,ta_seasonality,aridity_index,param_CalChanMan1,param_CalChanMan3,param_GwLoss,param_GwPercValue,param_LZThreshold,param_LakeMultiplier,param_LowerZoneTimeConstant,param_PowerPrefFlow,param_SnowMeltCoef,param_TransSub,param_UpperZoneTimeConstant,param_b_Xinanjiang,glacier_frac,q_mean_annual,q_seasonality,q_cv,eta_mean_annual,eta_seasonality,swe_mean_annual,sf_mean_annual,sf_seasonality,rain_mean_annual,rain_seasonality,smlt_mean_annual,smlt_seasonality,perc_mean_annual,perc_seasonality,qb_up_mean_annual,qb_up_seasonality,qb_low_mean_annual,qb_low_seasonality,gwloss_mean_annual,gwloss_seasonality,lz_mean_annual,uz_mean_annual,theta_mean_annual,theta2_mean_annual,theta3_mean_annual
4,Barby,Elbe,Elbe,1004,DE,94060.0,93699.47,51.984836,11.882244,11.875,52.025,NRT,calibrated,01/01/1980 00:00',01/01/2000 00:00',01/01/1980 00:00',0.843939,0.0302549,KGEJSD,Europe,380.17106773969954,372.3415222167969,1.4626098311766933,1.4621959924697876,2.283379237668686,2.297122001647949,0.0084843701585764,0.0060456641949713,1.0,1.0,50.0,50.0,50.0,50.0,0.371744629260766,0.3394802212715149,0.0008788114355175,0.0,0.5670033943300096,0.5848201513290405,122.59878288529872,105.77596594644989,122.59878288529872,105.77596594644989,749.9708494671115,95.1416624691611,0.176230645914632,658.2743198507139,41.150882984443385,0.6526567387400146,8.793267950861766,0.8273784791893584,0.6815682615222212,0.8777332083219606,5.0,1.04253,0.0,0.01,9.18135,1.0,95.196,3.20421,5.26617,0.0262388,17.4641,0.535906,0.0,503.7455113159336,0.1505259011692011,0.2645276969227376,431.66680565475167,0.7247024737098408,4.73663274903711,88.59258990613448,1.0765948194618489,661.4767314763237,0.3111804084793074,88.93362991380776,1.045655926835951,153.45817892217167,0.1067514482836374,105.4766722318396,0.2613697172275258,71.21376570741181,0.0310322237426746,81.24094559977627,0.0482769091248109,69.36429526888487,4.2062057493675775,0.2783282095695599,0.2348077508287802,0.2501013051288348
5,Wittenberg / Lutherstadt,Elbe,Elbe,1004,DE,61879.0,60938.53,51.856531,12.646309,12.625,51.875,NRT,calibrated,01/01/1980 00:00',01/01/2011 00:00',01/01/1991 00:00',0.834721,0.00902574,KGEJSD,Europe,423.276765266486,427.3036804199219,1.422023681976005,1.4244277477264404,2.263140993249054,2.270871162414551,0.0090550414812622,0.0063883694820106,1.0,1.0,50.0,50.0,50.0,50.0,0.4080879278687856,0.3843376338481903,0.0009992333630857,0.0,0.5359881627828026,0.5478900372982025,133.86784684478573,117.30026682121245,133.86784684478573,117.30026682121245,754.9474554005888,94.76240691333628,0.2047629134378116,656.7672879472067,40.70748613682751,0.6566767733816636,8.674328019509108,0.8235161168052484,0.7057719946184621,0.8699509922829187,1.67375,4.89613,0.19808,0.34434,9.68304,1.0,84.9059,3.19004,4.07802,0.00392367,23.4535,1.03496,0.0,339.43295789377623,0.148394540088417,0.2824054845849885,435.48599979769455,0.7276050198781159,5.4267140317719145,93.41064871009937,1.0666864587532228,661.6523972088419,0.3509876660722414,93.81268292484872,1.0423691490379945,153.89050786150247,0.1284160145383388,97.79099100177932,0.2507953810540159,58.72401847193144,0.0352315911460298,94.2683290334972,0.0531966195699978,55.4875426893036,4.069370651578101,0.2712801648684474,0.2243221708420088,0.239397235892155
6,Malliss OP,Elbe,Muritz-Elde,1004,DE,2879.0,3161.95,53.190627,11.345254,11.425,53.175,NRT,calibrated,01/01/1980 00:00',31/12/2010 00:00',31/12/1990 00:00',0.867403,0.0809633,KGEJSD,Europe,62.76301061176276,66.0163803100586,1.3809980386662184,1.3763548135757446,2.141029584122924,2.1292402744293213,0.0013584606553951,0.0010070860153064,1.0,1.0,50.0,50.0,50.0,50.0,0.3230958651817179,0.2872334718704223,0.0009702746263701,0.0,0.5506242170706849,0.6019567847251892,376.5821456391002,384.8105764179935,376.5821456391002,384.8105764179935,697.1071438195354,105.55419468899316,0.138832902537755,636.8969514134782,41.47650156431806,0.6745414793317926,9.264208886579771,0.8089470373902932,0.6033947386840456,0.9136284960785824,4.92202,0.824251,0.255436,0.901287,30.0,1.0,714.471,6.82104,5.35921,0.0225895,27.2065,0.336509,0.0,9.05046428910385,0.3075380365775566,0.3436180973373778,458.06150377666665,0.7244577288931925,1.248862008100137,44.50635826626665,1.17275251177425,652.6262934892334,0.1989546250510989,44.50634863000999,1.1761878833060668,195.82357480700003,0.1675302522717196,31.900427975781,0.7531128716357289,106.87291376666666,0.0325965988688758,90.64733626666668,0.0212934216828756,209.40071993064424,2.374095090509203,0.2031316187442964,0.2044367794944332,0.2198295503741558
9,Rathenow UP,Elbe,Lower Havel,1004,DE,19288.46,18271.3,52.607446,12.321014,12.325,52.625,efas,calibrated,01/01/1990 00:00',19/05/2010 00:00',17/05/1990 00:00',0.787487,0.0735495,KGEJSD,Europe,77.71931776069512,57.4082260131836,1.2654688452346443,1.2471858263015747,2.114710326843325,2.125196695327759,0.0019426201660819,0.0011873361654579,1.0,1.0,50.0,50.0,50.0,50.0,0.450473129540678,0.4408133625984192,0.0005347152162407,0.0,0.4636736833804099,0.4515490531921386,341.4010182118232,335.3150141933057,341.4010182118232,335.3150141933057,665.5355764944217,104.00730873689425,0.1374862044666545,685.6970928135394,45.27662412859708,0.6543191551062877,9.888637602482422,0.8421637468462065,0.6010707830554158,1.0302936717903417,2.44383,4.34612,0.0568432,0.579091,11.651,1.0,615.083,3.17946,2.65902,0.00719838,18.1227,1.13784,0.0,74.30214144916955,0.198794259987338,0.310771469223257,450.755191266377,0.7111942167278811,1.6150639835451672,46.61979931249234,1.1649991979218517,618.9426262703206,0.2105681315967703,46.63600690310826,1.1472097598609972,116.48835098171158,0.111280923184535,73.79104226465068,0.4138317748096856,89.48504060953536,0.0305968975682683,25.247078877580226,0.0215907821338939,104.55464240098328,3.3547391958388704,0.2027789426585662,0.1875360157735306,0.2081023915838855
11,Calbe Grizehne,Elbe,Saale,1004,DE,23719.0,23560.46,51.916414,11.812211,11.825,51.925,HIST,calibrated,01/01/1980 00:00',31/12/2019 00:00',03/05/1997 00:00',0.849686,0.0399889,KGEJSD,Europe,291.2208078883262,256.1271667480469,1.5327744303424993,1.531873345375061,2.3046526500728475,2.2974977493286133,0.0075746590203322,0.0056846956722438,1.0,1.0,50.0,50.0,50.0,50.0,0.2833670115349869,0.1914384067058563,0.0006908719281321,0.0,0.6469020949225989,0.7001359462738037,85.78032798170133,81.95510291668269,85.78032798170133,81.95510291668269,719.9878747341569,103.98642684742713,0.1241829939770069,659.4652491076935,43.47899217506976,0.6453542591148765,9.058406315702609,0.8407340925667325,0.6311763655329654,0.91593938210583,5.0,1.04253,0.0,0.01,9.18135,1.0,95.196,3.20421,5.26617,0.0262388,17.4641,0.535906,0.0,105.02764811096914,0.2000448603294952,0.2795136474932745,419.9167530625375,0.7251259726285659,2.750782864914,71.75202258381145,1.1127808820848843,648.2976745170633,0.2290212193132058,71.93799857210273,1.105856310695841,142.92169130348776,0.0699720007077533,123.49219615482944,0.3011629844702823,93.52924774641386,0.0293035053863505,48.36445288676945,0.0226829141369572,113.1914596492518,4.823885919262718,0.3021612364726239,0.2683525665360483,0.2838641788884606
12,Tangermuende,Elbe,Elbe,1004,DE,97780.0,97683.92,52.541308,11.978054,11.975,52.575,HIST,calibrated,01/01/1980 00:00',01/01/2011 00:00',29/12/1990 00:00',0.844505,0.0325032,KGEJSD,Europe,367.7892302628803,355.6098327636719,1.4577236871321348,1.4580403566360474,2.2785095082075077,2.290160179138184,0.008225884323081,0.0056973616592586,1.0,1.0,50.0,50.0,50.0,50.0,0.3666964745919496,0.3325738310813904,0.0010640616344296,0.0,0.5718814049072556,0.5900602638721466,126.6188390046365,107.94064279633646,126.6188390046365,107.94064279633646,746.5388977487021,95.05931396620235,0.1741432465814988,659.1831861749416,41.11824729751906,0.6525495120606691,8.837540938200048,0.8273147973392965,0.6766263177794939,0.8829857200513002,1.6841,4.99686,0.19579,0.236873,20.1395,1.0,414.195,2.96872,4.42391,0.00736577,20.1046,2.56762,0.0,517.8988166636248,0.1562794223164839,0.267752131600837,431.140267175232,0.7245728291065374,4.58642704996884,86.61602778867724,1.0779669191142431,660.0181858722727,0.3061036364671315,86.94315727569784,1.046819907566929,150.31210058888135,0.1053142258838795,104.485236746498,0.2644693303387443,68.55754561287245,0.0312705826129221,80.74884638967508,0.0469008393889344,67.0643997430222,4.216784735794459,0.2770285639484649,0.2340273867554072,0.2495435291929457
14,Wittenberge,Elbe,Elbe,1004,DE,123532.0,122945.86,52.985531,11.759441,11.775,52.975,NRT,calibrated,01/01/1980 00:00',01/01/2011 00:00',27/12/1990 00:00',0.850485,0.0228599,KGEJSD,Europe,306.77654958217016,268.3841094970703,1.419338127497094,1.4237496256828308,2.2493949524614365,2.2557419538497925,0.0068969069610725,0.0039558804128319,1.0,1.0,50.0,50.0,50.0,50.0,0.3790827903058326,0.3503672033548355,0.0009421856048359,0.0,0.5569690646888893,0.572885736823082,174.81776195398675,121.89503041346616,174.81776195398675,121.89503041346616,730.0749595465542,94.2599536493671,0.1666779761902877,663.0595642592235,41.26011214867128,0.6538178756576114,9.037294882248196,0.8267582596340949,0.6595335902264446,0.908207514295582,2.48969,1.64271,0.558334,0.606314,11.556,1.0,278.691,7.59193,3.28363,0.0054987,0.01,0.211558,0.0,614.176319310093,0.1665412367519721,0.2673739953196318,434.6343816263181,0.7231751997412287,3.9587380809644097,78.11022218892022,1.0842007096948652,652.0451170430563,0.2862618488776793,78.37254421732369,1.0536159263898934,144.81922186107056,0.1040307153889967,97.43628651359028,0.288265915882035,70.38191132533136,0.0310135703716261,73.37597393613764,0.0507881074429971,71.47107372547715,3.906811789074528,0.2621135078870537,0.2252171693036188,0.2417125559284769
17,Havelberg Stadt,Elbe,Lower Havel waterway,1004,DE,23858.0,23639.57,52.824075,12.07804,12.075,52.825,NRT,calibrated,01/01/1980 00:00',31/12/2019 00:00',29/04/1997 00:00',0.784232,0.0721023,KGEJSD,Europe,71.78144655086793,55.44994163513184,1.2633229037283509,1.24934184551239,2.13956149557138,2.147773265838623,0.0017495434440481,0.0010704610613174,1.0,1.0,50.0,50.0,50.0,50.0,0.439863683056647,0.4233475774526596,0.0005032286645705,0.0,0.4836286072578623,0.4825159311294555,358.48668193577186,353.6711663423936,358.48668193577186,353.6711663423936,664.5481155271734,102.24843409781602,0.1354948989597851,679.5813887302837,44.321169147034034,0.657849271182699,9.829880417386324,0.8350060823233684,0.6003839903460567,1.022621797958429,2.48969,1.64271,0.558334,0.606314,11.556,1.0,278.691,7.59193,3.28363,0.0054987,0.01,0.211558,0.0,85.03882390947254,0.2483094116552495,0.3403830445627039,450.3652978145562,0.716935857005576,1.5528320179344353,45.4320290115728,1.1721967045879846,619.1388488956898,0.2065515209016049,45.444555833150034,1.1558746925603751,124.1812539494178,0.1316536822640843,69.2586764694578,0.4724421171076509,75.1433783755182,0.0320245899977989,47.66749425776941,0.099136656818798,86.57591908983174,2.6594209607345207,0.2043577513840397,0.1920856557878432,0.2122450215401006
18,Halle-Trotha UP,Elbe,Saale,1004,DE,17988.0,17857.22,51.514254,11.954551,11.925,51.525,NRT,calibrated,01/01/1980 00:00',31/12/2019 00:00',03/05/1997 00:00',0.841773,0.0723433,KGEJSD,Europe,322.6516682429253,288.3039245605469,1.553106976681861,1.5545368194580078,2.3032516251334827,2.31706976890564,0.0081339940401898,0.0063311455305665,1.0,1.0,50.0,50.0,50.0,50.0,0.307122553174714,0.2430500760674476,0.0003269363785975,0.0,0.6195877434129341,0.6549591571092606,80.51841384838946,79.70306746944269,80.51841384838946,79.70306746944269,738.8592607858396,104.60298154009064,0.1207802126020245,656.4072967400293,43.708562984238384,0.6453795942865163,8.97218922500468,0.8386978467809849,0.6392176342022761,0.8884064010267454,4.95582,1.0,0.0588959,0.434169,15.2356,1.0,340.225,5.90529,4.20283,0.0313518,12.4418,0.149725,0.0,81.20715969154955,0.2018876520960255,0.281566867885315,422.20261047672886,0.7200120597667505,3.0500340068115865,76.29481909741197,1.1093185885892405,662.6355307283783,0.2293219754187657,76.50436562407621,1.102604131502817,187.4676540396696,0.0703387906258497,91.79592529570458,0.3992649856577733,122.58991269038492,0.0295525482724264,63.81109476506512,0.0226829141369572,150.4907167740759,2.9638891371366523,0.3017678800355255,0.2682073845186239,0.2817955463179427
19,Neu Darchau,Elbe,Elbe,1004,DE,131950.0,131611.79,53.232262,10.8888,10.975,53.225,NRT,calibrated,01/01/1980 00:00',01/01/2011 00:00',29/12/1990 00:00',0.875114,0.0104381,KGEJSD,Europe,289.6859416130926,242.95684814453125,1.4178220945808468,1.421929121017456,2.241297600582385,2.249272108078003,0.0065476442799671,0.0034927160013467,1.0,1.0,50.0,50.0,50.0,50.0,0.3746378232548064,0.3411059379577636,0.0012161118338644,0.0,0.5609099892914144,0.5807048678398132,186.86592056250944,128.25048023315952,186.86592056250944,128.25048023315952,727.0989953411439,93.8300853946148,0.1640914968859344,662.6616654682259,41.045135671691305,0.654497495769951,9.078059278270214,0.8253029329297393,0.6539759729812954,0.9113775011576176,4.92202,0.824251,0.255436,0.901287,30.0,1.0,714.471,6.82104,5.35921,0.0225895,27.2065,0.336509,0.0,644.1555624201495,0.1741762064924385,0.2700610160683359,435.45060889564405,0.7236039982286171,3.772562624481011,75.5448102473097,1.085975742583281,651.6310764190649,0.2795259189778928,75.78985921890897,1.055907968704834,146.65181833466482,0.1030755785058093,94.56951750509862,0.3018513744970774,71.6711053226988,0.0337937883204035,74.01879647086658,0.047547931034143,72.60640489152158,3.787915002284836,0.2590730074345052,0.2243002351986024,0.2409991131158705
