ID,name,long,lat,LISFLOOD_X,LISFLOOD_Y,issue
5429,Samburg,78.22,6700000.0,78.175,67.025,decimal_separator
6739,Tuolba At Alekseevka,12400000.0,60.28,124.025,60.325,decimal_separator
14573,TAZZOUGUERT,-3.75,3200000.0,-3.775,32.025,decimal_separator
14740,KALUNGU (60773235),3200000.0,-10.09,31.975,-10.075,decimal_separator
15037,YANGXINJIANG,10700000.0,33.05,106.875,33.025,decimal_separator
15093,DZEZDY,6700000.0,48.05,67.075,48.075,decimal_separator
15418,MAYMA,85.85,5200000.0,85.925,51.975,decimal_separator
15551,EL PROFUNDO,-74.5,400000.0,-74.475,3.975,decimal_separator
15625,ALGARROBAL,-70.59,-3000000.0,-70.575,-29.975,decimal_separator
15694,PASO DE LAS TOSCAS,-5500000.0,-32.13,-54.975,-32.125,decimal_separator
15900,NEAR PERRYVILLE. IL,-8900000.0,42.19,-89.025,42.175,decimal_separator
16020,NEAR EDINBURGH. IN,-8600000.0,39.36,-86.025,39.375,decimal_separator
16040,LITTLE. WV,-8100000.0,39.48,-80.975,39.475,decimal_separator
16188,NEAR SATSOP. WASH.,-123.49,4700000.0,-123.525,47.025,decimal_separator
16262,CHEMUNG. NY,-76.63,4200000.0,-76.625,42.025,decimal_separator
16463,RED PASS,-11900000.0,52.98,-119.025,52.975,decimal_separator
16602,NEAR ALTA / NWT BOUNDARY,-115.58,6000000.0,-115.575,59.975,decimal_separator
16616,OUTLET OF MCLEOD LAKE,-123.04,5500000.0,-123.025,54.975,decimal_separator
16845,WHIRLPOOL POINT,-116.47,5200000.0,-116.475,52.025,decimal_separator
16868,INTERNATIONAL BOUNDARY,-113.31,4900000.0,-113.325,48.975,decimal_separator
16989,NEAR THOMPSON,-97.36,5600000.0,-97.375,55.975,decimal_separator
17030,NEAR BROCHET,-101.39,5800000.0,-101.375,58.025,decimal_separator
2275,AGAN NAHARAYIM,35.58,32.63,51.725,32.625,coordinate_mismatch_unresolved
15905,CHARLES CITY. IA,-92.67,43.06,-96.175,47.875,coordinate_mismatch_unresolved
